,FECHA,CLIENTE,CLIENTE_ID,BODEGA,PRODUCTO,VOLUMEN,IMPORTE
0,1/1/2021,Estefana Barroso,50495006.0,Noreste,Multiproducto,189.54,109775.4909
1,1/1/2021,Rosalva Plata,50254765.0,Noreste,Cemento gris,1435.5,2401259.904
2,1/1/2021,Gisela Hipolito,50371459.0,Pacifico,Cemento gris,672.75,1464840.997
3,1/1/2021,Anastacio Cid,50447424.0,Centro,Cemento gris,485.1,1069926.737
4,1/1/2021,Ruperto Delgadillo,50553838.0,Centro,Cemento blanco,765.0,1780924.425
5,1/1/2021,Judith Zenteno,50367930.0,Centro,Multiproducto,128.25,83837.55814
6,1/1/2021,Felicita Arevalo,50927236.0,Noreste,Multiproducto,180.0,95656.26422
7,1/1/2021,Georgina Elias,50956645.0,Noreste,Multiplast,7.11,15054.24589
8,1/1/2021,Noe Badillo,50355574.0,Centro,Cemento gris,765.0,1579817.407
9,1/1/2021,Susana Rivero,50859860.0,Pacifico,Cemento gris,1039.5,2389656.512
10,1/1/2021,Benita Almeida,50739444.0,Pacifico,Cemento gris,869.4,1915693.392
11,1/1/2021,Higinio del Valle,50593846.0,Pacifico,Multiplast,154.98,372651.7216
12,1/1/2021,Felicita Arevalo,50927236.0,Noreste,Cemento blanco,590.4,1108254.869
13,1/1/2021,Altagracia Sanchez,50479135.0,Centro,Multiplast,48.06,121351.8948
14,1/1/2021,Gisela Hipolito,50371459.0,Pacifico,Cemento gris,684.45,1535652.976
15,1/1/2021,Paulina Garrido,50550041.0,Sureste,Multiproducto,315.0,167797.7465
16,1/1/2021,Karla Arteaga,50073499.0,Centro,Cemento gris,1566.0,2891355.515
17,1/1/2021,Avelina Elizalde,50956291.0,Centro,Multiproducto,78.12,51121.64686
18,1/1/2021,Perla Pascual,50351906.0,Pacifico,Multiproducto,198.72,144020.3207
19,1/1/2021,Altagracia Sanchez,50479135.0,Centro,Multiproducto,55.08,39457.98297
20,1/1/2021,Edilberto Valle,50003952.0,Pacifico,Cemento gris,1008.9,2281753.836
21,1/1/2021,Teresita Sepulveda,50772292.0,Sureste,Multiproducto,165.6,97757.31263
